Gas     a(atm L^2/mol^2)    b(L/mol)
He           0.034           0.0237
Ne           0.211           0.0171
Ar           1.35            0.0322
Kr           2.32            0.0398
Xe           4.19            0.0511
H2           0.244           0.0266
N2           1.39            0.0391
O2           1.36            0.0318
Cl2          6.49            0.0562
CO2          3.59            0.0427
CH4          2.25            0.0428
NH3          4.17            0.0371
(values from table 5.3, Chemical Principles)
