V_HCl [L], Dt [K]
0.001, 0.2
0.002, 0.9
0.003, 0.9
0.004, 1.7
0.005, 1.1
0.005, 2.6
0.006, 3.8
0.007, 1.8
0.008, 4.4
0.008, 2.5
0.009, 3.6
0.010, 3.7
0.010, 4.0
0.010, 4.5
0.011, 4.5
0.011, 3.4
0.011, 3.7
0.012, 5.7
0.012, 4.3
0.013, 5.2
0.014, 5.7
0.014, 5.7
0.015, 6.3
0.015, 4.7
0.015, 5.6
0.015, 6.0
0.015, 6.7
0.016, 4.7
0.016, 6.4
0.016, 5.0
0.017, 7.4
0.017, 6.3
0.017, 6.7
0.017, 7.1
0.017, 6.7
0.017, 7.0
0.018, 7.4
0.019, 7.9
0.020, 7.9
0.021, 9.2
0.021, 8.7
0.022, 9.4
0.022, 11.0
0.023, 9.0
0.023, 10.6
0.024, 8.1
0.024, 9.6
0.024, 10.4
0.025, 8.8
0.026, 9.8
0.026, 10.4
0.026, 10.2
0.026, 9.2
0.026, 9.5
0.026, 11.6
0.027, 9.9
0.027, 10.4
0.028, 8.9
0.028, 9.1
0.029, 11.0
0.030, 12.2
0.031, 12.6
0.032, 13.9
0.033, 15.4
0.033, 12.3
0.033, 11.7
0.033, 13.0
0.033, 11.9
0.034, 13.5
0.034, 14.7
0.034, 12.9
0.034, 14.5
0.035, 12.8
0.035, 14.0
0.035, 14.7
0.035, 13.4
0.036, 14.7
0.036, 13.9
0.037, 14.1
0.038, 14.7
0.039, 15.4
0.039, 14.7
0.039, 16.4
0.040, 16.3
0.040, 16.2
0.040, 17.0
0.041, 16.2
0.042, 16.8
0.044, 16.5
0.044, 18.0
0.045, 17.4
0.045, 18.2
0.045, 18.1
0.046, 19.1
0.047, 18.8
0.047, 19.2
0.047, 18.4
0.048, 18.7
0.048, 19.3
0.049, 18.8
